fecha,hora,precio_predicho,precio_real,error_absoluto
2025-01-14,3,63.0468,54.036,9.0108
2025-01-14,4,65.7863,54.036,11.7503
2025-01-14,5,75.1898,54.036,21.1538
2025-01-14,6,87.8544,54.3331,33.5213
2025-01-14,7,95.0265,54.3331,40.6934
2025-01-14,8,99.3292,54.3331,44.9961
2025-01-14,9,101.8261,54.3331,47.493
2025-01-14,10,106.6383,54.3331,52.3052
2025-01-14,11,110.3713,54.3331,56.0382
2025-01-14,12,112.3251,54.3331,57.992
2025-01-14,13,110.1457,54.3331,55.8126
2025-01-14,14,115.0317,54.3331,60.6986
2025-01-14,15,118.8126,123.8488,5.0362
2025-01-14,16,119.7808,123.8488,4.068
2025-01-14,17,119.0408,123.8488,4.808
2025-01-14,18,120.1192,123.8326,3.7134
2025-01-14,19,118.5557,54.3122,64.2435
2025-01-14,20,113.2742,54.3122,58.962
2025-01-14,21,103.1031,54.3122,48.7909
2025-01-14,22,86.8103,54.036,32.7743
2025-01-14,23,75.297,54.036,21.261
2025-01-15,0,68.4039,54.0526,14.3513
2025-01-15,1,64.4862,54.0526,10.4336
2025-01-15,2,64.0696,57.2861,6.7835
2025-01-15,3,62.3478,57.2861,5.0617
2025-01-15,4,66.6959,57.2861,9.4098
2025-01-15,5,75.1688,54.0526,21.1162
2025-01-15,6,86.6233,54.3474,32.2759
2025-01-15,7,94.7801,54.3474,40.4327
2025-01-15,8,98.5503,54.3474,44.2029
2025-01-15,9,102.8824,54.3474,48.535
2025-01-15,10,104.9996,54.3474,50.6522
2025-01-15,11,111.0869,54.3474,56.7395
2025-01-15,12,113.4204,54.3474,59.073
2025-01-15,13,114.2814,54.3474,59.934
2025-01-15,14,113.0933,54.3474,58.7459
2025-01-15,15,115.8468,54.3474,61.4994
2025-01-15,16,115.9473,54.3474,61.5999
2025-01-15,18,120.5482,54.3228,66.2254
2025-01-15,19,122.3839,54.3228,68.0611
2025-01-15,20,116.0001,54.3228,61.6773
2025-01-15,21,107.0771,54.3228,52.7543
2025-01-15,22,92.3783,54.0526,38.3257
2025-01-15,23,79.1123,54.0526,25.0597
2025-01-16,0,71.0127,54.2641,16.7486
2025-01-16,1,68.0851,54.2641,13.821
2025-01-16,2,66.9389,54.2641,12.6748
2025-01-16,3,65.8297,54.2641,11.5656
2025-01-16,4,66.982,54.2641,12.7179
2025-01-16,5,73.4873,54.2641,19.2232
2025-01-16,6,87.7257,54.381,33.3447
2025-01-16,7,97.4638,125.6724,28.2086
2025-01-16,8,104.4588,126.6273,22.1685
2025-01-16,9,109.5728,126.6273,17.0545
2025-01-16,10,110.7289,126.6273,15.8984
2025-01-16,11,114.9367,125.6724,10.7357
2025-01-16,12,115.3096,125.6724,10.3628
2025-01-16,13,114.9573,125.6724,10.7151
2025-01-16,14,115.3449,125.6724,10.3275
2025-01-16,15,117.8172,125.6724,7.8552
2025-01-16,16,121.4471,125.6724,4.2253
2025-01-16,17,121.6484,125.6724,4.024
2025-01-16,18,126.9345,125.3019,1.6326
2025-01-16,19,124.1533,125.3019,1.1486
2025-01-16,20,116.3133,54.3476,61.9657
2025-01-16,21,105.1457,54.3476,50.7981
2025-01-16,22,91.5273,54.2641,37.2632
2025-01-16,23,85.3988,54.2641,31.1347
2025-01-17,0,73.1531,54.2919,18.8612
2025-01-17,1,69.9237,54.2919,15.6318
2025-01-17,2,68.6798,54.2919,14.3879
2025-01-17,3,68.9305,54.2919,14.6386
2025-01-17,4,70.5367,54.2919,16.2448
2025-01-17,5,76.9834,54.2919,22.6915
2025-01-17,6,86.9943,54.453,32.5413
2025-01-17,7,94.9336,54.453,40.4806
2025-01-17,8,103.0177,54.453,48.5647
2025-01-17,9,107.9785,54.453,53.5255
2025-01-17,10,111.2834,54.453,56.8304
2025-01-17,11,112.7339,54.453,58.2809
2025-01-17,12,115.058,54.453,60.605
2025-01-17,13,113.8979,54.453,59.4449
2025-01-17,14,115.8209,54.453,61.3679
2025-01-17,15,117.19,54.453,62.737
2025-01-17,16,117.0214,54.453,62.5684
2025-01-17,17,114.7632,54.453,60.3102
2025-01-17,18,118.172,54.4214,63.7506
2025-01-17,19,118.4908,125.2808,6.79
2025-01-17,20,111.2166,125.2808,14.0642
2025-01-17,21,104.416,54.4214,49.9946
2025-01-17,22,89.1735,54.2919,34.8816
2025-01-17,23,82.8689,54.2919,28.577
2025-01-18,0,80.7893,54.2472,26.5421
2025-01-18,1,74.9769,122.0694,47.0925
2025-01-18,2,73.2547,122.0694,48.8147
2025-01-18,3,70.626,122.0694,51.4434
2025-01-18,4,67.1099,122.0694,54.9595
2025-01-18,5,69.6632,122.0694,52.4062
2025-01-18,6,73.8764,54.4378,19.4386
2025-01-18,7,82.3765,54.4378,27.9387
2025-01-18,8,91.4273,54.4378,36.9895
2025-01-18,9,101.6851,54.4378,47.2473
2025-01-18,10,105.1837,54.4378,50.7459
2025-01-18,11,106.5055,54.4378,52.0677
2025-01-18,12,103.7902,54.4378,49.3524
2025-01-18,13,100.3975,54.4378,45.9597
2025-01-18,14,100.2648,54.4378,45.827
2025-01-18,15,100.6872,54.4378,46.2494
2025-01-18,16,100.901,54.4378,46.4632
2025-01-18,17,99.6661,54.4378,45.2283
2025-01-18,18,103.2772,54.4023,48.8749
2025-01-18,19,101.3814,54.4023,46.9791
2025-01-18,20,96.8679,54.4023,42.4656
2025-01-18,21,91.3103,54.4023,36.908
2025-01-18,22,79.1001,54.2472,24.8529
2025-01-18,23,70.5512,54.2472,16.304
2025-01-19,0,70.3681,53.7334,16.6347
2025-01-19,1,68.146,53.7334,14.4126
2025-01-19,2,63.7636,53.7334,10.0302
2025-01-19,3,60.1046,53.7334,6.3712
2025-01-19,4,59.1092,53.7334,5.3758
2025-01-19,5,57.7383,53.7334,4.0049
2025-01-19,6,59.152,53.9896,5.1624
2025-01-19,7,62.3541,53.9896,8.3645
2025-01-19,8,70.4752,53.9896,16.4856
2025-01-19,9,75.0986,53.9896,21.109
2025-01-19,10,75.5384,76.0028,0.4644
2025-01-19,11,74.5804,76.0028,1.4224
2025-01-19,12,76.3032,76.0028,0.3004
2025-01-19,13,74.9168,53.9896,20.9272
2025-01-19,14,75.5931,76.0028,0.4097
2025-01-19,15,75.94,76.0028,0.0628
2025-01-19,16,77.6381,76.0028,1.6353
2025-01-19,17,78.3242,76.0028,2.3214
2025-01-19,18,88.2129,123.9065,35.6936
2025-01-19,19,91.2129,126.5726,35.3597
2025-01-19,20,89.5877,126.5726,36.9849
2025-01-19,21,82.8167,126.5726,43.7559
2025-01-19,22,69.1984,126.4372,57.2388
2025-01-19,23,63.8453,123.6379,59.7926
2025-01-20,0,57.8585,120.712,62.8535
2025-01-20,1,54.121,53.6396,0.4814
2025-01-20,2,52.8333,53.6396,0.8063
2025-01-20,3,51.4048,74.7548,23.35
2025-01-20,4,57.1806,74.7548,17.5742
2025-01-20,5,66.2927,74.7548,8.4621
2025-01-20,6,79.9925,124.4686,44.4761
2025-01-20,7,88.7081,124.4686,35.7605
2025-01-20,8,93.5373,124.4686,30.9313
2025-01-20,9,98.6012,145.684,47.0828
2025-01-20,10,105.8318,145.684,39.8522
2025-01-20,11,111.7582,145.684,33.9258
2025-01-20,12,115.3401,139.6568,24.3167
2025-01-20,13,114.6753,139.6568,24.9815
2025-01-20,14,116.544,139.6568,23.1128
2025-01-20,15,118.074,139.6568,21.5828
2025-01-20,16,122.1988,124.4686,2.2698
2025-01-20,17,120.2771,139.6568,19.3797
2025-01-20,18,121.277,140.926,19.649
2025-01-20,19,121.876,140.926,19.05
2025-01-20,20,114.2879,123.4746,9.1867
2025-01-20,21,103.0822,123.4746,20.3924
2025-01-20,22,88.9026,53.6396,35.263
2025-01-20,23,77.8349,53.6396,24.1953
2025-01-21,0,71.5881,53.4871,18.101
2025-01-21,1,67.0736,53.4871,13.5865
2025-01-21,2,64.5112,53.4871,11.0241
2025-01-21,3,63.0468,53.4871,9.5597
2025-01-21,4,65.7863,53.4871,12.2992
2025-01-21,5,75.1898,86.1301,10.9403
2025-01-21,6,87.8544,86.2604,1.594
2025-01-21,7,95.0265,86.2604,8.7661
2025-01-21,8,99.3292,86.2604,13.0688
2025-01-21,9,101.8261,86.2604,15.5657
2025-01-21,10,106.6383,86.2604,20.3779
2025-01-21,11,110.3713,86.2604,24.1109
2025-01-21,12,112.3251,86.2604,26.0647
